,number,value,datetime_start,datetime_complete,duration,params_a_thresh1,params_a_thresh2,params_a_thresh3,params_a_thresh4,params_beta,params_beta_out,params_beta_re,params_do,params_lr,params_out_thresh1,params_out_thresh2,params_re_thresh1,params_re_thresh2,params_re_thresh3,params_re_thresh4,state
24,24,39.849178314208984,2024-03-11 05:26:49.660512,2024-03-11 07:26:03.890023,0 days 01:59:14.229511,7.69529804886125,4.864091203641536,22.043160347763816,1.899323350988574,0.7887730276489686,0.31346836610611556,0.2644770270367679,0.8955773461631109,0.00045493519676962876,12.416020487471009,17.93878275253946,1.0883220577704091,33.84370248564919,22.32440956065254,12.731278192806638,COMPLETE
25,25,42.624568939208984,2024-03-11 07:26:03.926005,2024-03-11 09:21:04.694241,0 days 01:55:00.768236,7.742249397991662,5.7556982148105575,27.35361417749275,2.4027755231656656,0.7924910084586474,0.30939032266320426,0.4311893538567403,0.892596863676414,0.00017825405551474697,12.697935971315278,17.072774767318514,14.845673235362732,36.4513090230654,21.24032291242146,10.257703458039966,COMPLETE
26,26,87.72759246826172,2024-03-11 09:21:04.724817,2024-03-11 09:58:11.581539,0 days 00:37:06.856722,17.28269529449394,12.444906454907766,23.028091132169322,5.727199362282809,0.6430330319626413,0.3110182162323886,0.28657464772482555,0.8274033707435685,0.00048789823299227067,23.2887670797899,12.390261529475406,9.646863791543446,34.674872621465774,21.614464431804603,4.059916107304563,COMPLETE
27,27,87.93340301513672,2024-03-11 09:58:11.601234,2024-03-11 10:27:03.243494,0 days 00:28:51.642260,6.267541693878515,3.510444924678877,13.66394154353612,1.6531639085240073,0.7858221632689087,0.5344204339834484,0.344620237771764,0.7999339308544238,2.3700393013581836e-05,14.339927057611176,20.00856286696658,4.288575863341207,43.53345292699481,27.327329607017617,13.994999939010917,COMPLETE
28,28,42.85895919799805,2024-03-11 10:27:03.264095,2024-03-11 12:09:57.487265,0 days 01:42:54.223170,16.10277475302737,22.17720010761043,6.127812683395529,20.48728943177118,0.7965678536357409,0.7142591478880544,0.6201320169828316,0.7489020256384038,0.0004339947002328961,14.892709104996523,9.708819392321141,13.84205259101915,32.64841235081682,32.32115382662957,6.000118377096172,COMPLETE
29,29,44.01004409790039,2024-03-11 12:09:57.507367,2024-03-11 14:05:26.919625,0 days 01:55:29.412258,7.937816176823279,29.43040136100945,28.144812303704768,6.552735638799828,0.6658537114870784,0.4346847649668676,0.22245958916246183,0.8126877456357683,0.0002345382878289218,9.501668151586273,23.506230081228587,6.853338493809807,42.76143871398238,17.690061875252134,17.57105254371804,COMPLETE
30,30,87.77084350585938,2024-03-11 14:05:26.939731,2024-03-11 14:50:51.705078,0 days 00:45:24.765347,28.022100102059937,4.788081564467162,23.606044880261837,16.478017167290048,0.8245609695126273,0.5303532359928302,0.4612723497322878,0.48387292381033425,0.0005909736699517914,20.94184004810604,35.23796439179613,21.839037073322014,39.005134549057125,14.523207244345848,11.391944095564739,COMPLETE
31,31,87.7149429321289,2024-03-11 14:50:51.725545,2024-03-11 15:44:20.717208,0 days 00:53:28.991663,15.881333019516275,11.031098257864773,21.839282810736815,12.633396610524876,0.8984826407173859,0.15637326903518603,0.18095915660558906,0.6698684589664938,0.00044581041003327083,10.355416575926114,29.915260803028467,1.7099318062641933,31.693794466970964,11.739107299644878,16.31145617282642,COMPLETE
32,32,44.96511459350586,2024-03-11 15:44:20.736777,2024-03-11 16:29:42.737496,0 days 00:45:22.000719,10.414920847986487,7.341098481405486,16.0566335753521,3.413078445618808,0.841064248808876,0.32341820829570883,0.27809937235216464,0.8411846561077183,0.0002968352699880563,5.282279357190771,20.055818959444245,1.0355063800250315,47.80578089776592,23.036782551354644,30.060780234854533,COMPLETE
33,33,87.76870727539062,2024-03-11 16:29:42.757069,2024-03-11 16:58:36.300660,0 days 00:28:53.543591,20.292751656332833,35.33512567150251,26.332862044345696,8.219730202812514,0.10095681630521436,0.2601968477526517,0.7423892379720081,0.698623330284654,0.0005711119778006525,8.487430388984256,24.06708267909972,4.754672298033874,32.26643427799211,28.959490281097203,22.210735230500323,COMPLETE
34,34,87.87390899658203,2024-03-11 16:58:36.321316,2024-03-11 17:35:53.320974,0 days 00:37:16.999658,13.67369134497441,12.35568176715222,20.554941985594947,9.131388130172574,0.8383633618206917,0.18840555744194495,0.3764687325478694,0.5660460952432205,0.00041842676151479703,15.63361990015957,26.570356574151866,10.756422433116484,35.74936828194322,40.040050974674784,14.546091348334748,COMPLETE
35,35,87.71527099609375,2024-03-11 17:35:53.340596,2024-03-11 18:00:40.486847,0 days 00:24:47.146251,5.040976732141543,4.957371202750347,35.820026109678246,4.168948125600148,0.773098711123522,0.33657527960387534,0.533372337989437,0.7716418272734784,0.0006671334540372325,18.958589807433277,20.23873813579569,8.699980492770937,24.531743581485586,11.976311508393534,10.232095632091088,COMPLETE
36,36,32.09950637817383,2024-03-11 18:00:40.532193,2024-03-11 20:20:44.349129,0 days 02:20:03.816936,38.99096656859945,9.55354093570784,29.61925710354054,1.262112186662491,0.8372435142513912,0.820485156794482,0.17041894668337929,0.5036782978656426,0.0004990367932184232,3.4083313097973784,14.66397286545895,34.56455694133143,40.996422516232215,17.79099774504679,35.06981317583107,COMPLETE
37,37,51.21992874145508,2024-03-11 20:20:44.370103,2024-03-11 21:18:30.238325,0 days 00:57:45.868222,41.26957757573465,20.125375927639837,30.39579674262807,29.98959520254087,0.5011148070073608,0.7786969401029628,0.8804429863780123,0.02623755348847534,0.0005073160123852932,11.421061314571512,6.39503798213299,36.181895997145915,40.21170482167835,18.88864873101405,36.47955631179465,COMPLETE
38,38,39.46993637084961,2024-03-11 21:18:30.260405,2024-03-11 23:26:06.866824,0 days 02:07:36.606419,45.35719982300018,27.35270341873757,44.876505245524754,1.4319808984410778,0.817136155060782,0.8505319866479802,0.17516598025705826,0.472235880787672,0.0005544836872509931,27.35497584467963,14.958737889627967,33.65626847992245,45.46952279599137,17.30325936514068,42.325750010634835,COMPLETE
39,39,46.87090301513672,2024-03-11 23:26:06.928612,2024-03-12 00:52:34.633016,0 days 01:26:27.704404,45.096006068517525,28.137458171096455,44.789886802984874,7.250522659996815,0.3464992433643109,0.8076426897037572,0.15987445650228574,0.5075869329478316,0.000688168309742169,28.666225615587248,14.061926383789134,34.03643139224673,46.446276656806766,17.2965270018265,44.821235026546745,COMPLETE
40,40,41.59700393676758,2024-03-12 00:52:34.652899,2024-03-12 03:17:12.828396,0 days 02:24:38.175497,49.32183998903734,35.46563418502602,48.95764712439068,1.00649986398572,0.7184012555054857,0.8705375269313135,0.22180790371996328,0.23833422121337094,0.0006132455039681554,40.24385017665759,11.425145445852804,39.646691219718534,41.712286127835306,25.022720464433103,40.132836897850474,COMPLETE
41,41,37.479671478271484,2024-03-12 03:17:12.849030,2024-03-12 05:37:36.563707,0 days 02:20:23.714677,43.146982559707936,27.548632050598883,41.9004749078835,3.407188346163583,0.821160243718463,0.8415385784496954,0.2593010746832306,0.46856821269077,0.0005440896081910605,31.5978042301923,16.88518003195665,32.41312304747817,45.523594699133945,19.575989541525768,43.39492338401966,COMPLETE
42,42,35.909461975097656,2024-03-12 05:37:36.600394,2024-03-12 09:03:54.069818,0 days 03:26:17.469424,41.581367041765574,27.963602815201092,40.599144791555744,4.146743145992078,0.8540398396663051,0.8556785672540197,0.19548290334718765,0.3833783899122988,0.0005082163166903468,31.836524309764346,16.740110414040323,28.31588683681043,45.63599393571328,16.181244972488262,44.05691247050478,COMPLETE
43,43,44.14511489868164,2024-03-12 09:03:54.089676,2024-03-12 10:18:19.065840,0 days 01:14:24.976164,36.20180244176057,27.294946847791756,40.936103655738634,4.032160007659723,0.8401766952377326,0.8499721097357169,0.18762380126715436,0.38304006613796737,0.0005551757493547388,32.79755391450226,5.282700456396617,29.356872795921767,46.58044188240385,16.627128049246174,43.54061207924587,COMPLETE
44,44,45.33736038208008,2024-03-12 10:18:19.085343,2024-03-12 11:24:18.425788,0 days 01:05:59.340445,40.88336433228423,36.12750777285475,46.79710357658629,5.676642599307306,0.8533623585588545,0.837895413238038,0.15237997898744632,0.47231837268849175,0.000530400800568672,35.445788139280324,14.747298268232223,32.824391866672336,45.471441511227454,12.919949188757636,35.50311233458892,COMPLETE
45,45,33.2998046875,2024-03-12 11:24:18.453893,2024-03-12 13:56:59.376549,0 days 02:32:40.922656,46.35637595439344,24.325660190396917,36.43418279860869,12.516166069252646,0.5984690607889351,0.8962058580238874,0.3112286703685595,0.3764478474507137,0.0007738146073537622,26.946211205602367,10.03879083627657,26.932006458995076,49.916102364594366,15.276852114112556,47.40568633813357,COMPLETE
46,46,45.69802474975586,2024-03-12 13:56:59.404875,2024-03-12 15:35:47.346803,0 days 01:38:47.941928,42.13826980107903,23.559660127598193,36.26198444708266,19.44481689636575,0.5453161994978813,0.6791633115303046,0.31509665855934743,0.3769985775447732,0.0008073803705156071,38.28019602568013,8.976403264528662,25.837315099475717,49.880675799283495,15.104282902935289,49.88219244161923,COMPLETE
47,47,43.43788146972656,2024-03-12 15:35:47.366649,2024-03-12 17:14:44.145629,0 days 01:38:56.778980,47.281999669785364,22.20891766453178,39.25762339952405,13.029488675293893,0.6025089679129183,0.8940690488152928,0.32055718065944055,0.4316356640096315,0.0007224862522925233,30.549286784421817,3.6656110001545983,27.834788806784587,41.321576142637625,10.524677736442207,46.63183325258827,COMPLETE
48,48,87.7589111328125,2024-03-12 17:14:44.165598,2024-03-12 17:39:32.305418,0 days 00:24:48.139820,38.103061674721296,39.98587141568255,34.194499891291805,41.489227430799566,0.6885510259331793,0.7413863866237671,0.2124893758583991,0.5781612719206849,0.0008534168737799792,45.30421994010263,11.804081768712617,37.66803931745077,37.8219445489789,19.390731674859044,40.24473139574957,COMPLETE
49,49,46.522640228271484,2024-03-12 17:39:32.325105,2024-03-12 18:25:00.252111,0 days 00:45:27.927006,35.09719788159059,33.25821296616099,39.212234749200306,22.172076723460584,0.7444634245450827,0.8131153721713654,0.24790743210792632,0.250466142354394,0.0009324618686168134,25.70038441617118,8.565545619030996,31.06640892346883,43.27453526805379,14.88669563459422,49.1667496103716,COMPLETE
